"customer_code","last_purchase_date","recency_segment"
1442155,"2019-11-12 18:38:51","Inactive Customer"
1447935,"2019-08-21 20:53:55","Dormant Customer"
1450804,"2019-09-06 08:15:04","Dormant Customer"
1454674,"2019-10-09 08:57:27","Inactive Customer"
1458999,"2019-12-28 08:40:33","Active Customer"
1474080,"2019-12-17 15:27:43","Active Customer"
1478945,"2019-12-03 13:27:27","Inactive Customer"
1479886,"2019-07-28 12:37:07","Dormant Customer"
1502650,"2019-06-07 08:54:14","Dormant Customer"
1509823,"2019-05-26 14:11:21","Dormant Customer"
1514001,"2019-11-08 08:34:02","Inactive Customer"
1520506,"2019-09-10 08:42:30","Dormant Customer"
1558856,"2019-12-18 18:12:20","Active Customer"
1581805,"2019-12-07 14:49:06","Active Customer"
1597842,"2019-11-23 08:00:17","Inactive Customer"
1598339,"2019-12-17 14:23:01","Active Customer"
1650925,"2019-10-13 13:54:15","Inactive Customer"
1652242,"2019-06-26 19:59:03","Dormant Customer"
1660173,"2019-11-08 16:23:25","Inactive Customer"
1688627,"2019-10-24 09:56:48","Inactive Customer"
1691617,"2019-11-16 17:36:15","Inactive Customer"
1700468,"2019-11-04 15:27:08","Inactive Customer"
1705209,"2019-12-30 08:18:28","Active Customer"
1708221,"2019-09-22 11:39:14","Dormant Customer"
1722825,"2019-12-18 11:34:39","Active Customer"
1726182,"2019-12-13 18:05:56","Active Customer"
1750138,"2019-11-07 08:54:31","Inactive Customer"
1759244,"2019-11-05 20:17:14","Inactive Customer"
1768937,"2019-11-18 08:24:21","Inactive Customer"
1769767,"2019-12-25 08:04:47","Active Customer"
1775849,"2019-08-15 12:05:59","Dormant Customer"
1804579,"2019-07-22 09:59:22","Dormant Customer"
1823925,"2019-12-22 14:40:07","Active Customer"
1845827,"2019-12-17 21:58:17","Active Customer"
1866035,"2019-09-15 08:42:11","Dormant Customer"
1876164,"2019-08-12 17:28:17","Dormant Customer"
1903213,"2019-07-24 08:21:59","Dormant Customer"
1906438,"2019-09-12 08:35:00","Dormant Customer"
1926929,"2019-11-22 08:48:20","Inactive Customer"
1938442,"2019-08-31 08:46:54","Dormant Customer"
1944650,"2019-12-17 17:18:34","Active Customer"
1952058,"2019-09-10 16:57:59","Dormant Customer"
1988208,"2019-09-08 12:09:38","Dormant Customer"
1998547,"2019-11-04 12:23:39","Inactive Customer"
2010051,"2019-11-28 16:08:00","Inactive Customer"
2036235,"2019-09-24 09:00:54","Dormant Customer"
2047198,"2019-10-20 15:09:28","Inactive Customer"
2054318,"2019-12-12 08:57:18","Active Customer"
2059806,"2019-07-09 08:03:46","Dormant Customer"
2063231,"2019-12-22 21:43:45","Active Customer"
2072444,"2019-12-25 08:31:26","Active Customer"
2073760,"2019-12-21 08:17:50","Active Customer"
2087245,"2019-08-14 16:14:55","Dormant Customer"
2091646,"2019-10-14 14:29:01","Inactive Customer"
2159889,"2019-08-01 19:14:16","Dormant Customer"
2188394,"2019-12-25 09:21:56","Active Customer"
2193397,"2019-12-17 08:22:08","Active Customer"
2194174,"2019-08-17 19:53:35","Dormant Customer"
2215590,"2019-10-30 08:34:42","Inactive Customer"
2237927,"2019-12-08 18:27:52","Active Customer"
2262044,"2019-12-01 16:17:44","Inactive Customer"
2276834,"2019-11-12 13:51:19","Inactive Customer"
2285568,"2019-12-04 19:03:29","Active Customer"
2313871,"2019-10-13 16:31:17","Inactive Customer"
2321496,"2019-10-11 08:17:25","Inactive Customer"
2329958,"2019-12-28 08:36:47","Active Customer"
2330187,"2019-10-15 21:42:28","Inactive Customer"
2336090,"2019-10-08 11:23:11","Inactive Customer"
2337454,"2019-12-21 08:23:12","Active Customer"
2340816,"2019-10-25 13:54:07","Inactive Customer"
2346303,"2019-12-26 08:32:09","Active Customer"
2352039,"2019-04-28 08:57:29","Dormant Customer"
2355122,"2019-10-17 08:30:14","Inactive Customer"
2371067,"2019-11-06 21:58:38","Inactive Customer"
2371468,"2019-12-27 09:13:39","Active Customer"
2382351,"2019-12-19 18:47:02","Active Customer"
2392086,"2019-12-18 16:20:27","Active Customer"
2393295,"2019-10-27 11:42:56","Inactive Customer"
2399898,"2019-11-03 16:40:20","Inactive Customer"
2406482,"2019-10-15 21:08:20","Inactive Customer"
2442465,"2019-11-24 09:55:09","Inactive Customer"
2445879,"2019-12-02 08:47:33","Inactive Customer"
2448973,"2019-11-30 15:08:47","Inactive Customer"
2451057,"2019-12-16 13:16:07","Active Customer"
2456844,"2019-08-02 10:55:50","Dormant Customer"
2458730,"2019-11-04 14:52:06","Inactive Customer"
2482729,"2019-08-07 13:07:33","Dormant Customer"
2487499,"2019-10-24 10:33:18","Inactive Customer"
2491382,"2019-08-21 08:48:16","Dormant Customer"
2491874,"2019-06-03 08:30:15","Dormant Customer"
2495171,"2019-07-29 13:22:37","Dormant Customer"
2496836,"2019-12-12 12:38:35","Active Customer"
2507278,"2019-12-31 14:21:25","Active Customer"
2510598,"2019-11-05 16:40:39","Inactive Customer"
